Block Configuration: 8x8 (64 threads per block)
========================================
Size\tSteps\tTime(s)\tGFLOPs\tBandwidth(GB/s)
----------------------------------------
100	100	0.0088	0.77	5.47
100	1000	0.0463	1.45	10.37
100	10000	0.4037	1.67	11.89
100	100000	3.9939	1.68	12.02
1000	100	0.1056	6.60	45.47
1000	1000	0.2286	30.50	209.98
1000	10000	1.5332	45.47	313.07
1000	100000	14.6155	47.70	328.42
2000	100	0.4020	6.95	47.76
2000	1000	0.8219	34.00	233.59
2000	10000	5.2541	53.19	365.43
2000	100000	49.7603	56.16	385.85
