Size,Steps,block_16x16,block_16x32,block_32x16,block_32x32,block_8x8,Best_Config,Best_Time
100,100,0.008623,0.009084,0.009144,0.009134,0.008769,block_16x16,0.008623
100,1000,0.045219,0.047606,0.048127,0.051474,0.046282,block_16x16,0.045219
100,10000,0.407839,0.513319,0.462448,0.46026,0.403726,block_8x8,0.403726
100,100000,4.337848,4.183971,4.324953,4.566667,3.99389,block_8x8,3.99389
1000,100,0.09944,0.101037,0.10312,0.114553,0.105576,block_16x16,0.09944
1000,1000,0.233991,0.235435,0.282481,0.332626,0.228589,block_8x8,0.228589
1000,10000,1.579189,1.592223,2.113962,2.53901,1.533214,block_8x8,1.533214
1000,100000,15.303194,15.060025,20.895088,24.523311,14.615451,block_8x8,14.615451
2000,100,0.412091,0.408823,0.422844,0.456821,0.401982,block_8x8,0.401982
2000,1000,1.067526,1.074149,1.218318,1.468119,0.821945,block_8x8,0.821945
2000,10000,7.563476,7.539007,9.183478,11.83401,5.254081,block_8x8,5.254081
2000,100000,72.372164,72.341781,88.965703,115.334438,49.76032,block_8x8,49.76032
